Record,Location,X,Y,Longitude,Latitude,Year,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type
1576,BEARBROOK RD @ WESTPARK DR N,377564.07685,5033795.23491,-75.56990,45.44030,2017,2017-11-27,5:55:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
1577,BEARBROOK RD @ WESTPARK DR N,377564.07685,5033798.57939,-75.56990,45.44033,2017,2017-03-29,7:36:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1578,BEARBROOK RD btwn ROCKCLIFFE PKWY & Continuation of BEARBROOK RD,376961.54953,5034518.35748,-75.57750,45.44687,2017,2017-03-24,6:50:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,01 - Approaching
1579,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377128.39985,5035239.59200,-75.57526,45.45334,2017,2017-06-21,12:20:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1580,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377129.73764,5035238.25421,-75.57524,45.45333,2017,2017-07-05,10:35:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1581,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377127.72671,5035240.89050,-75.57527,45.45335,2017,2017-10-31,10:22:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
1582,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377132.39054,5035243.15344,-75.57521,45.45337,2017,2017-12-13,4:00:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,06 - SMV unattended vehicle
1583,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377128.73430,5035238.49910,-75.57525,45.45333,2017,2017-01-21,7:08:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
1584,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377129.15412,5035240.83125,-75.57525,45.45335,2017,2017-02-15,6:06:00 PM,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,99 - Other
1585,BEARBROOK RD/ROCKCLIFFE PKWY @ ST. JOSEPH BLVD,377129.48477,5035239.21677,-75.57524,45.45334,2017,2017-03-24,11:30:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1586,BEARHILL RD @ MARCH RD,338158.71718,5017979.81977,-76.07464,45.30098,2017,2017-09-01,2:59:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
1587,BEATRICE DR @ BERRIGAN DR,365177.80718,5016073.87972,-75.73038,45.28203,2017,2017-08-24,4:33:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1588,BEATRICE DR @ CLARIDGE DR,365145.20570,5016521.63815,-75.73074,45.28606,2017,2017-09-09,4:06:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
1589,BEATRICE DR @ CLARIDGE DR,365146.19310,5016522.35500,-75.73073,45.28607,2017,2017-11-23,8:10:00 AM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1590,BEATRICE DR @ GREENPOINTE DR/HERITAGE GLEN DR,365529.35124,5015401.13560,-75.72598,45.27594,2017,2017-11-18,6:30:00 PM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
1591,BEATRICE DR @ STRANDHERD DR,365527.71145,5015322.15080,-75.72601,45.27523,2017,2017-06-18,1:30:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1592,BEATRICE DR @ STRANDHERD DR,365528.48688,5015322.59178,-75.72600,45.27524,2017,2017-08-29,7:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
1593,BEATRICE DR @ STRANDHERD DR,365527.37700,5015320.84087,-75.72601,45.27522,2017,2017-08-16,10:31:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1594,BEATRICE DR @ STRANDHERD DR,365527.37700,5015321.21416,-75.72601,45.27522,2017,2017-08-01,5:48:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
1595,BEATRICE DR @ STRANDHERD DR,365526.37366,5015322.15080,-75.72603,45.27523,2017,2017-11-22,5:38:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
1596,BEATRICE DR @ STRANDHERD DR,365527.37700,5015321.75327,-75.72601,45.27523,2017,2017-02-05,11:45:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
1597,BEATRICE DR @ STRANDHERD DR,365527.37700,5015322.02835,-75.72601,45.27523,2017,2017-01-26,11:00:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1598,BEATRICE DR @ STRANDHERD DR,365525.70476,5015322.15080,-75.72604,45.27523,2017,2017-03-20,11:16:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
1599,BEATRICE DR @ STRANDHERD DR,365528.38034,5015320.81300,-75.72600,45.27522,2017,2017-04-07,10:12:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement
1600,BEATRICE DR @ STRANDHERD DR,365526.66694,5015322.66533,-75.72602,45.27524,2017,2017-12-25,10:30:00 AM,01 - Clear,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement
1601,BEATRICE DR btwn BLACKPOOL LANE & BURNTWOOD AVE,365113.30805,5016410.34028,-75.73116,45.28506,2017,2017-04-25,5:48:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1602,BEAUSEJOUR DR @ HUNTER'S RUN DR,380676.74346,5035905.90750,-75.52980,45.45896,2017,2017-03-23,9:30:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1603,BEAUSEJOUR DR @ JEANNE D'ARC BLVD,381420.41265,5036059.90240,-75.52026,45.46027,2017,2017-06-06,2:45:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1604,BEAUSEJOUR DR @ JEANNE D'ARC BLVD,381420.74710,5036059.71293,-75.52026,45.46026,2017,2017-01-07,9:40:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement
1605,BEAUSEJOUR DR @ JEANNE D'ARC BLVD,381419.66162,5036060.84267,-75.52027,45.46027,2017,2017-01-19,3:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other
1606,BEAUSEJOUR DR @ JEANNE D'ARC BLVD,381420.41265,5036059.90240,-75.52026,45.46027,2017,2017-02-25,2:03:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1607,BEAUSEJOUR DR btwn CHAMPNEUF DR & KINDERSLEY AVE,381596.41750,5036153.07400,-75.51800,45.46108,2017,2017-05-04,12:00:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
1608,BEAUSEJOUR DR btwn DES FAISANS GT & ORLEANS BLVD,380548.34517,5035361.94589,-75.53152,45.45408,2017,2017-12-06,12:30:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe
1609,BEAUSEJOUR DR N @ ORLEANS BLVD,381056.75414,5035896.25420,-75.52494,45.45883,2017,2017-03-08,10:29:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,01 - Approaching
1610,BEAUSEJOUR DR N @ ORLEANS BLVD,381055.27743,5035895.82199,-75.52496,45.45883,2017,2017-12-19,12:34:00 PM,03 - Snow,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1611,BEAUSOLEIL DR @ CLARENCE ST,368601.24864,5032846.12077,-75.68458,45.43264,2017,2017-02-09,4:12:00 PM,01 - Clear,05 - Packed snow,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other
1612,BEAUSOLEIL DR @ OLD ST. PATRICK ST,368517.03724,5032987.68804,-75.68564,45.43392,2017,2017-12-17,9:33:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
1613,BEAUSOLEIL DR btwn YORK ST & COBOURG ST,368823.54780,5032743.93165,-75.68175,45.43170,2017,2017-05-21,4:44:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
1614,BEAUSOLEIL DR btwn YORK ST & COBOURG ST,368898.79124,5032821.95125,-75.68078,45.43239,2017,2017-11-24,2:21:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle
1615,BEAVERHILL DR @ JASMINE CRES,375590.88670,5033964.56266,-75.59510,45.44203,2017,2017-07-29,10:18:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
1616,BEAVERPOND DR @ BLAIR RD,375400.06435,5031875.90489,-75.59784,45.42325,2017,2017-06-28,6:14:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1617,BEAVERPOND DR @ BLAIR RD,375398.97943,5031877.19374,-75.59785,45.42327,2017,2017-02-28,1:28:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end
1618,BEAVERPOND DR @ BLAIR RD,375399.72990,5031874.80605,-75.59784,45.42324,2017,2017-12-20,1:35:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1619,BEAVERPOND DR btwn APPLETON DR & BLAIR RD,375318.46174,5031844.90838,-75.59888,45.42298,2017,2017-02-21,11:52:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
1620,BECKETT CRES btwn PARADE DR & PARADE DR,351657.53140,5011941.61270,-75.90310,45.24588,2017,2017-11-06,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
1621,BECKSTEAD RD @ MERIVALE RD,367261.58060,5017942.24635,-75.70358,45.29866,2017,2017-08-17,1:32:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
1622,BEECH ST @ CHAMPAGNE AVE,366466.70140,5029178.75154,-75.71232,45.39983,2017,2017-10-20,7:58:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other
1623,BEECH ST @ PRESTON ST,366684.69630,5029269.00915,-75.70952,45.40062,2017,2017-10-01,3:15:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1624,BEECH ST @ PRESTON ST,366685.69964,5029270.22450,-75.70951,45.40063,2017,2017-10-24,2:26:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle
1625,BEECH ST @ PRESTON ST,366684.36185,5029270.89339,-75.70952,45.40064,2017,2017-04-13,11:25:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1626,BEECH ST @ ROCHESTER ST,366856.69850,5029341.75949,-75.70731,45.40126,2017,2017-08-01,1:02:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe
1627,BEECH ST @ ROCHESTER ST,366857.03295,5029343.90049,-75.70731,45.40128,2017,2017-02-23,10:16:00 PM,01 - Clear,02 - Wet,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
1628,BEECH ST @ ROCHESTER ST,366857.03295,5029342.56270,-75.70731,45.40127,2017,2017-12-16,1:00:00 PM,01 - Clear,05 - Packed snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1629,BEECH ST btwn BAYSWATER AVE & BREEZEHILL AVE S,366256.28540,5029088.21242,-75.71502,45.39903,2017,2017-03-17,3:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1630,BEECH ST btwn BAYSWATER PL & BAYSWATER AVE,366136.56030,5029036.65305,-75.71655,45.39858,2017,2017-11-24,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
1631,BEECH ST btwn CHAMPAGNE AVE S & RAILWAY ST,366499.81177,5029189.59693,-75.71189,45.39993,2017,2017-10-20,10:45:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1632,BEECH ST btwn CHAMPAGNE AVE S & RAILWAY ST,366470.11849,5029179.12417,-75.71227,45.39983,2017,2017-12-10,3:37:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle
1633,BEECH ST btwn LORETTA AVE S & CHAMPAGNE AVE S,366392.95691,5029145.40945,-75.71326,45.39954,2017,2017-08-12,3:30:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1634,BEECH ST btwn PRESTON ST & ROCHESTER ST,366705.05133,5029278.31300,-75.70926,45.40071,2017,2017-09-27,4:40:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle
1635,BEECHFERN DR btwn OAKFERN CRES & CARBERY DR,350466.04107,5013882.30820,-75.91810,45.26342,2017,2017-12-25,10:40:00 PM,03 - Snow,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle
1636,BEECHWOOD AVE @ CHARLEVOIX ST/MACKAY ST,369186.43858,5033592.60200,-75.67700,45.43930,2017,2017-09-29,3:44:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1637,BEECHWOOD AVE @ CHARLEVOIX ST/MACKAY ST,369185.99073,5033592.20379,-75.67701,45.43930,2017,2017-10-02,5:04:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1638,BEECHWOOD AVE @ CHARLEVOIX ST/MACKAY ST,369186.87434,5033591.68210,-75.67700,45.43929,2017,2017-12-11,9:17:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1639,BEECHWOOD AVE @ CORONA AVE,369698.61869,5034149.56264,-75.67038,45.44426,2017,2017-12-24,3:00:00 PM,01 - Clear,03 - Loose snow,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1640,BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,369606.15343,5033906.92301,-75.67160,45.44209,2017,2017-07-25,6:40:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1641,BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,369604.75071,5033906.87655,-75.67162,45.44209,2017,2017-07-27,6:05:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
1642,BEECHWOOD AVE @ MARIER AVE/PUTMAN AVE,369605.70650,5033907.36994,-75.67160,45.44209,2017,2017-09-07,10:36:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
1643,BEECHWOOD AVE @ MARQUETTE AVE,369681.82839,5034040.36425,-75.67061,45.44328,2017,2017-06-29,6:14:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1644,BEECHWOOD AVE @ MARQUETTE AVE,369680.89256,5034039.63614,-75.67062,45.44328,2017,2017-09-12,4:03:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,01 - Approaching
1645,BEECHWOOD AVE btwn CHAPLEAU AVE & PUTMAN AVE,369561.49680,5033877.45461,-75.67217,45.44183,2017,2017-12-15,8:00:00 PM,03 - Snow,06 - Ice,10 - No control,04 - At/near private drive,07 - Dark,03 - P.D. only,03 - Rear end
1646,BEECHWOOD AVE btwn MARQUETTE AVE & BLACK MAPLE PRIV,369688.77818,5034073.39807,-75.67052,45.44358,2017,2017-03-16,3:41:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1647,BEECHWOOD AVE btwn OAKHILL RD & HEMLOCK RD,369766.45835,5034308.59261,-75.66950,45.44569,2017,2017-01-05,7:13:00 PM,01 - Clear,04 - Slush,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,01 - Approaching
1648,BEECHWOOD AVE btwn PUTMAN AVE & ACACIA AVE,369612.06102,5033915.62016,-75.67152,45.44217,2017,2017-04-10,4:40:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe
1649,BEECHWOOD AVE btwn SPRINGFIELD RD & LOYER ST,369283.02270,5033679.75480,-75.67576,45.44008,2017,2017-08-29,6:44:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
1650,BEECHWOOD AVE btwn ST. PATRICK ST & MACKAY ST,369147.06888,5033519.15657,-75.67752,45.43864,2017,2017-06-04,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle
1651,BEGIN ST @ MONTREAL RD,370466.70730,5033287.81898,-75.66068,45.43644,2017,2017-02-08,7:08:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement
1652,BELANGER AVE btwn CLEMENTINE BLVD & BANK ST,369613.88911,5027419.37482,-75.67235,45.38372,2017,2017-02-25,4:30:00 PM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1653,BELCOURT BLVD @ INNES RD,382121.57777,5035267.93510,-75.51142,45.45306,2017,2017-07-27,5:55:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1654,BELCOURT BLVD @ INNES RD,382123.20972,5035266.63431,-75.51140,45.45305,2017,2017-10-06,3:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
1655,BELCOURT BLVD @ INNES RD,382121.44689,5035267.19362,-75.51143,45.45306,2017,2017-10-18,4:29:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
1656,BELCOURT BLVD @ INNES RD,382123.40957,5035266.96925,-75.51140,45.45305,2017,2017-12-05,8:49:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement
1657,BELCOURT BLVD @ INNES RD,382123.29564,5035264.89336,-75.51140,45.45304,2017,2017-01-03,6:35:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
1658,BELCOURT BLVD @ INNES RD,382122.11165,5035267.95290,-75.51142,45.45306,2017,2017-12-31,11:06:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle
1659,BELCOURT BLVD @ NOTRE DAME ST,381315.20326,5037215.31143,-75.52143,45.47067,2017,2017-02-03,8:10:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle
1660,BELCOURT BLVD @ ST. JOSEPH BLVD,381205.07465,5037359.93439,-75.52281,45.47199,2017,2017-05-02,6:01:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1661,BELCOURT BLVD @ ST. JOSEPH BLVD,381205.74354,5037358.59660,-75.52281,45.47197,2017,2017-11-14,10:53:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle
1662,BELCOURT BLVD @ ST. JOSEPH BLVD,381204.40575,5037357.92770,-75.52282,45.47197,2017,2017-02-22,12:06:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1663,BELCOURT BLVD @ ST. JOSEPH BLVD,381205.50454,5037357.66292,-75.52281,45.47197,2017,2017-12-17,1:21:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,01 - Approaching
1664,BELCOURT BLVD btwn BELVAL CRES & BEAUSEJOUR DR,381731.17064,5036227.74720,-75.51626,45.46174,2017,2017-08-26,11:53:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle
1665,BELFAST RD @ COVENTRY RD,371524.05555,5031643.57129,-75.64739,45.42154,2017,2017-05-30,7:28:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1666,BELFAST RD @ COVENTRY RD,371523.72110,5031641.83597,-75.64740,45.42153,2017,2017-10-13,3:55:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1667,BELFAST RD @ COVENTRY RD,371523.67711,5031641.17209,-75.64740,45.42152,2017,2017-10-23,4:13:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1668,BELFAST RD @ COVENTRY RD,371523.38665,5031643.57129,-75.64740,45.42154,2017,2017-11-15,5:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end
1669,BELFAST RD @ COVENTRY RD,371524.19447,5031640.38117,-75.64739,45.42152,2017,2017-01-17,5:42:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end
1670,BELFAST RD @ COVENTRY RD,371524.72444,5031641.56460,-75.64738,45.42153,2017,2017-03-29,8:36:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1671,BELFAST RD @ COVENTRY RD,371524.19900,5031641.32565,-75.64739,45.42152,2017,2017-12-23,12:15:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1672,BELFAST RD @ OC TRANSPO GARAGE ENT N/530 E OF TRAINYARDS DR,372349.83830,5030664.10590,-75.63697,45.41265,2017,2017-03-09,5:08:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1673,BELFAST RD @ ST. LAURENT BLVD,372861.05855,5030577.89310,-75.63046,45.41183,2017,2017-05-23,9:16:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1674,BELFAST RD @ ST. LAURENT BLVD,372861.05855,5030577.89310,-75.63046,45.41183,2017,2017-04-24,1:45:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1675,BELFAST RD @ ST. LAURENT BLVD,372861.05855,5030578.56200,-75.63046,45.41183,2017,2017-05-05,6:31:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end
1676,BELFAST RD @ ST. LAURENT BLVD,372860.38965,5030577.89310,-75.63046,45.41183,2017,2017-05-19,10:20:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other
1677,BELFAST RD @ ST. LAURENT BLVD,372860.38965,5030578.56200,-75.63046,45.41183,2017,2017-05-26,10:00:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1678,BELFAST RD @ ST. LAURENT BLVD,372859.05186,5030578.56200,-75.63048,45.41183,2017,2017-05-02,3:08:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe
1679,BELFAST RD @ ST. LAURENT BLVD,372863.27161,5030578.56200,-75.63043,45.41183,2017,2017-04-26,8:08:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement
1680,BELFAST RD @ ST. LAURENT BLVD,372861.05855,5030579.23090,-75.63046,45.41184,2017,2017-06-20,5:59:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement
1681,BELFAST RD @ ST. LAURENT BLVD,372860.72356,5030578.56217,-75.63046,45.41183,2017,2017-05-03,3:26:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end
1682,BELFAST RD @ ST. LAURENT BLVD,372860.72410,5030579.25086,-75.63046,45.41184,2017,2017-07-15,3:40:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle
